trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,4,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,5,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,6,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,7,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,8,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,9,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,10,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,11,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,12,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,13,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,14,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,4,15,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,0,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,1,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,2,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,3,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,4,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,5,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,6,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,7,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,8,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,9,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,10,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,11,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,12,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,13,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,14,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,5,15,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,0,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,1,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,2,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,3,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,4,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,5,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,6,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,7,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,8,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,9,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,10,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,11,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,12,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,13,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,14,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,6,15,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,0,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,1,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,2,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,3,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,4,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,5,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,6,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,7,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,8,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,9,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,10,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,11,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,12,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,13,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,14,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
multiplier_n4,smoothed,1381,16,1.0729893953093352,7,15,1,feasible,1381,1381.0,0.0,0.0,0,0,1,0.7081824764663287,978,22096.0,1.0
